born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names,node_id
1981,18,20914,4,62,58,FALSE,6,REP,M,IL,01920,Aaron Schock,1
1960,28,20104,7,381,374,FALSE,14,DEM,M,CA,01635,Adam B. Schiff,2
1978,16,21128,17,230,213,FALSE,4,REP,M,IL,02014,Adam Kinzinger,3
1965,9,29768,7,307,300,FALSE,18,DEM,M,WA,01528,Adam Smith,4
1970,3,20729,9,128,119,FALSE,8,REP,M,NE,01860,Adrian Smith,5
1947,9,20529,26,249,223,FALSE,10,DEM,M,TX,01803,Al Green,6
1958,9,20908,12,362,350,FALSE,6,DEM,M,FL,01914,Alan Grayson,7
1958,1,21147,0,28,28,FALSE,4,REP,M,MS,02034,Alan Nunnelee,8
1941,47,21313,15,596,581,FALSE,2,DEM,M,CA,02111,Alan S. Lowenthal,9
1951,8,20542,10,303,293,FALSE,9,DEM,M,NJ,01818,Albio Sires,10
1936,20,29337,23,798,775,FALSE,22,DEM,M,FL,00511,Alcee L. Hastings,11
1971,2,NA,6,170,164,FALSE,0,REP,M,WV,02277,Alex Mooney,12
1946,12,NA,18,257,239,FALSE,1,DEM,F,NC,02201,Alma Adams,13
1965,7,21304,6,198,192,FALSE,2,DEM,M,CA,02102,Ami Bera,14
1944,4,20111,4,179,175,FALSE,14,REP,M,FL,01643,Ander Crenshaw,15
1974,7,20757,15,370,355,FALSE,7,DEM,M,IN,01889,André Carson,16
1957,1,21139,4,194,190,FALSE,4,REP,M,MD,02026,Andy Harris,17
1950,1,20902,5,393,388,FALSE,6,DEM,F,AZ,01907,Ann Kirkpatrick,18
1956,2,21340,12,399,387,FALSE,2,DEM,F,NH,02145,Ann M. Kuster,19
1962,2,21337,7,226,219,FALSE,2,REP,F,MO,02137,Ann Wagner,20
1942,18,29312,10,408,398,FALSE,22,DEM,F,CA,00355,Anna G. Eshoo,21
1947,0,NA,3,87,84,FALSE,0,REP,F,AS,02222,Aumua Amata,22
1969,8,21123,7,294,287,FALSE,4,REP,M,GA,02009,Austin Scott,23
1959,10,NA,5,254,249,FALSE,0,REP,F,VA,02273,Barbara Comstock,24
1946,13,29778,35,730,695,FALSE,17,DEM,F,CA,01501,Barbara Lee,25
1963,11,NA,7,188,181,FALSE,0,REP,M,GA,02238,Barry Loudermilk,26
1972,3,20932,21,255,234,FALSE,6,DEM,M,NM,01939,Ben Ray Luján,27
1948,2,29368,7,241,234,FALSE,22,DEM,M,MS,01151,Bennie G. Thompson,28
1972,16,21361,19,293,274,FALSE,2,DEM,M,TX,02162,Beto O'Rourke,29
1954,4,20122,8,530,522,FALSE,14,DEM,F,MN,01653,Betty Louise McCollum,30
1954,17,21182,8,236,228,FALSE,4,REP,M,TX,02065,Bill Flores,31
1955,11,20749,21,265,244,FALSE,7,DEM,M,IL,01888,Bill Foster,32
1969,2,21142,12,205,193,FALSE,4,REP,M,MI,02028,Bill Huizenga,33
1937,9,29741,20,380,360,FALSE,18,DEM,M,NJ,01510,Bill J. Pascrell Jr.,34
1954,6,21162,4,355,351,FALSE,4,REP,M,OH,02046,Bill Johnson,35
1947,8,20909,16,270,254,FALSE,6,REP,M,FL,01915,Bill Posey,36
1961,9,20134,16,146,130,FALSE,14,REP,M,PA,01681,Bill Shuster,37
1955,7,21150,6,221,215,FALSE,4,REP,M,MO,02033,Billy Long,38
1952,3,20926,17,256,239,FALSE,6,REP,M,MO,01931,Blaine Luetkemeyer,39
1961,27,21184,11,379,368,FALSE,4,REP,M,TX,02067,Blake Farenthold,40
1969,10,21127,12,300,288,FALSE,4,REP,M,IL,02013,Bob Dold,41
1954,7,21165,4,218,214,FALSE,4,REP,M,OH,02049,Bob Gibbs,42
1952,6,39308,16,207,191,FALSE,22,REP,M,VA,00446,Bob W. Goodlatte,43
1946,1,29346,9,434,425,FALSE,22,DEM,M,IL,01003,Bobby L. Rush,44
1945,12,NA,8,417,409,FALSE,0,DEM,F,NJ,02259,Bonnie Watson Coleman,45
1949,2,NA,8,375,367,FALSE,0,DEM,M,NE,02257,Brad Ashford,46
1954,30,29707,7,272,265,FALSE,18,DEM,M,CA,01526,Brad J. Sherman,47
1958,2,21351,7,173,166,FALSE,2,REP,M,OH,02152,Brad R. Wenstrup,48
1955,1,NA,9,277,268,FALSE,1,REP,M,AL,02197,Bradley Byrne,49
1954,14,NA,14,434,420,FALSE,0,DEM,F,MI,02252,Brenda Lawrence,50
1977,13,NA,2,299,297,FALSE,0,DEM,M,PA,02267,Brendan Boyle,51
1964,2,20916,14,230,216,FALSE,6,REP,M,KY,01922,Brett Guthrie,52
