i,j,raw,nfw,gsw
Bill Nelson,Alan Stuart Franken,1,0.0909090909090909,0.00584782636472311
Gary C. Peters,Alan Stuart Franken,2,0.055640243902439,0.00357911933755538
Christopher S. Murphy,Alan Stuart Franken,4,0.706208425720621,0.0454276267601051
Roy Blunt,Alan Stuart Franken,1,0.03125,0.00201019031287357
Dianne Feinstein,Alan Stuart Franken,4,0.422306910569106,0.0271653523419386
Ron Wyden,Alan Stuart Franken,6,1.4382160014782,0.0925148119677193
Robert P. Casey Jr.,Alan Stuart Franken,4,0.656966001478197,0.0422600541458801
Sherrod Brown,Alan Stuart Franken,10,1.52912509238729,0.0983626383324424
Richard Blumenthal,Alan Stuart Franken,5,0.347306910569106,0.022340895591042
Michael F. Bennet,Alan Stuart Franken,2,1.02439024390244,0.065895019036636
John H. Isakson,Alan Stuart Franken,1,0.0909090909090909,0.00584782636472311
Charles E. Grassley,Alan Stuart Franken,3,0.447916666666667,0.0288127278178545
Pat Roberts,Alan Stuart Franken,1,0.03125,0.00201019031287357
Elizabeth Warren,Alan Stuart Franken,7,0.938216001478197,0.0603517669617422
Mazie K. Hirono,Alan Stuart Franken,4,0.24029933481153,0.0154575166408992
Angus King,Alan Stuart Franken,1,0.2,0.0128652180023908
Patrick J. Leahy,Alan Stuart Franken,4,0.297306910569106,0.0191245910904443
Robert J. Portman,Alan Stuart Franken,3,0.322159090909091,0.0207232346799875
Sheldon Whitehouse,Alan Stuart Franken,4,0.430640243902439,0.0277014030920382
Lindsey O. Graham,Alan Stuart Franken,1,0.03125,0.00201019031287357
Richard J. Durbin,Alan Stuart Franken,7,0.888216001478197,0.0571354624611445
Jeff Merkley,Alan Stuart Franken,5,0.766056910569106,0.0492774457835478
Maria Cantwell,Alan Stuart Franken,2,0.0660569105691057,0.0042491827751799
Lamar Alexander,Alan Stuart Franken,1,0.0909090909090909,0.00584782636472311
Barbara Boxer,Alan Stuart Franken,3,0.0973069105691057,0.00625937308805347
Patty Murray,Alan Stuart Franken,7,1.27363266814486,0.0819278096532518
Debbie Ann Stabenow,Alan Stuart Franken,2,0.055640243902439,0.00357911933755538
Tom S. Udall,Alan Stuart Franken,6,0.72154933481153,0.0464144474591521
Robert Menéndez,Alan Stuart Franken,5,0.573632668144863,0.0368995466448839
Benjamin L. Cardin,Alan Stuart Franken,2,0.11529933481153,0.00741675538940492
Susan M. Collins,Alan Stuart Franken,3,0.314583333333333,0.0202359158162606
John Cornyn,Alan Stuart Franken,1,0.03125,0.00201019031287357
Dean Heller,Alan Stuart Franken,1,0.03125,0.00201019031287357
Tammy Baldwin,Alan Stuart Franken,4,0.599390243902439,0.0385564307815555
Mark Steven Kirk,Alan Stuart Franken,2,0.11529933481153,0.00741675538940492
Jon Tester,Alan Stuart Franken,1,0.024390243902439,0.00156892902468181
Cory Anthony Booker,Alan Stuart Franken,3,0.0973069105691057,0.00625937308805347
Jeanne Shaheen,Alan Stuart Franken,5,0.680640243902439,0.0437829255950267
Chris Andrew Coons,Alan Stuart Franken,8,1.1882160014782,0.0764332894647307
Kirsten E. Gillibrand,Alan Stuart Franken,3,0.357723577235772,0.0230109590286665
Brian Emanuel Schatz,Alan Stuart Franken,3,0.156966001478197,0.010097009139903
Martin Heinrich,Alan Stuart Franken,4,1.14654933481153,0.0737530357142327
Charles E. Schumer,Alan Stuart Franken,4,0.472306910569106,0.0303816568425363
Harry M. Reid,Alan Stuart Franken,1,0.024390243902439,0.00156892902468181
Thad Cochran,Alan Stuart Franken,2,0.283333333333333,0.018225725503387
Thomas Richard Carper,Alan Stuart Franken,1,0.024390243902439,0.00156892902468181
Cory Gardner,Alan Stuart Franken,1,0.03125,0.00201019031287357
Barbara A. Mikulski,Alan Stuart Franken,1,0.024390243902439,0.00156892902468181
Orrin G. Hatch,Alan Stuart Franken,3,0.564583333333333,0.0363174383192491
Claire McCaskill,Alan Stuart Franken,1,0.024390243902439,0.00156892902468181
Timothy Kaine,Alan Stuart Franken,1,0.024390243902439,0.00156892902468181
Heidi Heitkamp,Alan Stuart Franken,5,3.06605691056911,0.197227452811042
Edward J. Markey,Alan Stuart Franken,6,0.847306910569106,0.0545039405970191
Bernard Sanders,Alan Stuart Franken,5,0.547306910569106,0.0352061135934328
Thom Tillis,Alan Stuart Franken,1,0.25,0.0160815225029885
John Boozman,Alan Stuart Franken,1,0.2,0.0128652180023908
John F. Reed,Alan Stuart Franken,3,0.0973069105691057,0.00625937308805347
Kelly Ayotte,Alan Stuart Franken,1,0.03125,0.00201019031287357
Bill Cassidy,Alan Stuart Franken,1,1,0.0643260900119542
Amy Jean Klobuchar,Alan Stuart Franken,10,4.7632160014782,0.306399061257467
Alan Stuart Franken,Amy Jean Klobuchar,21,9.51822344322344,0.267595734492222
John Hoeven,Amy Jean Klobuchar,5,1.59679487179487,0.0448923582326257
Cory Gardner,Amy Jean Klobuchar,1,0.2,0.00562280841773553
Michael B. Enzi,Amy Jean Klobuchar,1,0.0416666666666667,0.00117141842036157
Dean Heller,Amy Jean Klobuchar,1,0.0714285714285714,0.00200814586347698
Jeff Merkley,Amy Jean Klobuchar,4,0.509523809523809,0.0143247738261358
Roger F. Wicker,Amy Jean Klobuchar,2,0.288461538461538,0.0081098198332724
Rand Paul,Amy Jean Klobuchar,1,0.0416666666666667,0.00117141842036157
Thad Cochran,Amy Jean Klobuchar,1,0.0384615384615385,0.00108130931110299
Sherrod Brown,Amy Jean Klobuchar,3,0.308333333333333,0.00866849631067561
Richard M. Burr,Amy Jean Klobuchar,2,2,0.0562280841773553
Brian Emanuel Schatz,Amy Jean Klobuchar,7,1.13809523809524,0.0319964574247332
Roy Blunt,Amy Jean Klobuchar,4,1.44642857142857,0.0406649537354088
Shelley Moore Capito,Amy Jean Klobuchar,3,0.321794871794872,0.00904695456956166
Kirsten E. Gillibrand,Amy Jean Klobuchar,7,0.863461538461539,0.0242753940342621
John S. McCain,Amy Jean Klobuchar,2,0.238461538461538,0.00670411772883852
Richard J. Durbin,Amy Jean Klobuchar,4,0.884523809523809,0.0248675396093899
Jerry Moran,Amy Jean Klobuchar,1,0.333333333333333,0.00937134736289255
Claire McCaskill,Amy Jean Klobuchar,3,0.280128205128205,0.00787553614920009
Michael F. Bennet,Amy Jean Klobuchar,2,0.342857142857143,0.00963910014468948
Bill Nelson,Amy Jean Klobuchar,1,0.2,0.00562280841773553
Harry M. Reid,Amy Jean Klobuchar,1,0.0714285714285714,0.00200814586347698
Ron Wyden,Amy Jean Klobuchar,1,0.0416666666666667,0.00117141842036157
Jon Tester,Amy Jean Klobuchar,5,1.14285714285714,0.0321303338156316
Robert Menéndez,Amy Jean Klobuchar,2,0.342857142857143,0.00963910014468948
Mike Rounds,Amy Jean Klobuchar,2,0.271428571428571,0.00763095428121251
Orrin G. Hatch,Amy Jean Klobuchar,2,0.238461538461538,0.00670411772883852
Mark Warner,Amy Jean Klobuchar,4,1.19322344322344,0.0335463341039808
Thomas Richard Carper,Amy Jean Klobuchar,1,0.5,0.0140570210443388
Jeff Flake,Amy Jean Klobuchar,1,0.0416666666666667,0.00117141842036157
Thom Tillis,Amy Jean Klobuchar,4,2.4,0.0674737010128264
Ted Cruz,Amy Jean Klobuchar,1,0.25,0.00702851052216942
Angus King,Amy Jean Klobuchar,5,0.863095238095238,0.0242650958503468
Susan M. Collins,Amy Jean Klobuchar,5,2.07179487179487,0.0582465282247476
James Risch,Amy Jean Klobuchar,1,0.125,0.00351425526108471
Heidi Heitkamp,Amy Jean Klobuchar,4,0.513461538461538,0.0144354793032249
Edward J. Markey,Amy Jean Klobuchar,1,0.0416666666666667,0.00117141842036157
Charles E. Schumer,Amy Jean Klobuchar,5,1.57179487179487,0.0441895071804087
John Boozman,Amy Jean Klobuchar,1,0.5,0.0140570210443388
Bill Cassidy,Amy Jean Klobuchar,1,0.0714285714285714,0.00200814586347698
Robert P. Casey Jr.,Amy Jean Klobuchar,5,1.48333333333333,0.0417024957648719
Chris Andrew Coons,Amy Jean Klobuchar,1,0.0384615384615385,0.00108130931110299
Steve Daines,Amy Jean Klobuchar,2,1.2,0.0337368505064132
Sheldon Whitehouse,Amy Jean Klobuchar,3,0.205128205128205,0.00576698299254926
Tom S. Udall,Amy Jean Klobuchar,1,0.125,0.00351425526108471
Dianne Feinstein,Amy Jean Klobuchar,2,0.238461538461538,0.00670411772883852
Charles E. Grassley,Amy Jean Klobuchar,4,2.325,0.0653651478561756
Patrick J. Leahy,Amy Jean Klobuchar,4,0.513461538461538,0.0144354793032249
David Vitter,Amy Jean Klobuchar,1,0.333333333333333,0.00937134736289255
